date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:26	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Dec%202024%2019:00:25%20GMT	https://peacetheecoder.com/robots.txt		(from )
19:00:28	28257/28257	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:31:24%20GMT	https://peacetheecoder.com/	C:/My%20Web%20Sites/peacetheecoder.com/peacetheecoder.com/index.html	(from )
19:00:29	4680/4680	---M--	200	added ('OK')	image/webp	date:Thu,%2018%20May%202023%2007:10:36%20GMT	https://peacetheecoder.com/assets/favicon.webp	C:/My%20Web%20Sites/peacetheecoder.com/peacetheecoder.com/assets/favicon.webp	(from https://peacetheecoder.com/)
19:00:29	80510/80510	---M-Z	200	added ('OK')	text/css	etag:W/%2213a7e-T26mnA4DQx/6Ggl6RUU7WzskbYs%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/peacetheecoder.com/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css	(from https://peacetheecoder.com/)
19:00:30	252666/252666	---M-Z	200	added ('OK')	text/css	date:Sat,%2025%20Mar%202023%2022:06:34%20GMT	https://peacetheecoder.com/css/styles.css	C:/My%20Web%20Sites/peacetheecoder.com/peacetheecoder.com/css/styles.css	(from https://peacetheecoder.com/)
19:00:32	28257/28257	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2007:31:24%20GMT	https://peacetheecoder.com/index.html	C:/My%20Web%20Sites/peacetheecoder.com/peacetheecoder.com/index-2.html	(from https://peacetheecoder.com/)
19:00:32	80420/80420	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a24-kNFQNu9I/LM2oTW66BK0VmnxkEQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/peacetheecoder.com/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js	(from https://peacetheecoder.com/)
19:00:33	325/325	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2025%20Mar%202023%2022:06:34%20GMT	https://peacetheecoder.com/js/scripts.js	C:/My%20Web%20Sites/peacetheecoder.com/peacetheecoder.com/js/scripts.js	(from https://peacetheecoder.com/)
19:00:34	102536/102536	---M--	200	added ('OK')	font/woff2	etag:W/%2219088-HKXox9L7jp1grRof6ypG6Ywkij0%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/fonts/bootstrap-icons.woff2?524846017b983fc8ded9325d94ed40f3	C:/My%20Web%20Sites/peacetheecoder.com/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/fonts/bootstrap-icons44df.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css)
19:00:35	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css)
19:00:35	137124/137124	---M--	200	added ('OK')	font/woff	etag:W/%22217a4-NpUtvrUKCKF9Dbpp+pzM3pkO0Q0%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/fonts/bootstrap-icons.woff?524846017b983fc8ded9325d94ed40f3	C:/My%20Web%20Sites/peacetheecoder.com/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/fonts/bootstrap-icons44df.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css)
